callToLandline,callToCellphone,surf_abroad,surf_abroad_sms_word,country,surfAbroadPrices
"2,97","2,97",,,country113,
"9,97","9,97",,,country208,
"6,67","6,67",,,country209,
"0,47","2,27",,,country206,
"2,67","2,67",,,country207,
"3,17","3,17",,,country204,
"0,87","0,87",69,20MB Thailand,country205,country205
"7,57","7,57",,,country214,
"1,97","1,97",,,country213,
"2,17","2,17",,,country212,
"1,67","2,27",,,country210,
"0,29","0,99",69,20MB Turkiet,country211,country211
"2,17","2,17",,,country108,
"5,57","5,57",,,country107,
"7,47","7,47",,,country106,
"1,67","1,67",,,country105,
"0,97","2,97",,,country109,
"0,97","0,97",69,20MB Kanada,country100,country100
"3,27","3,27",,,country101,
"2,17","2,17",,,country102,
"1,47","1,67",,,country103,
"0,09","0,19",99,20MB Kina,country104,country104
"2,67","2,67",,,country201,
"12,37","12,37",,,country200,
"2,97","3,17",,,country203,
"1,47","3,47",,,country202,
